תקופה,שם לקוח,מקט,שם פריט,כמות,מחיר,מחיר תקליט,סהכ לפריט
אוקטובר 2025,מינה טומיי יהוד,784,"חסה אמריקאית ארוז,יחידה",494,3.8,לא,1877.2
אוקטובר 2025,מינה טומיי יהוד,1639,"חסה לאליק,נספאק",34,8.8,לא,299.2
אוקטובר 2025,מינה טומיי יהוד,1191,"חסה פקצוי (זוג),נספאק",157,7.4,לא,1161.8
אוקטובר 2025,מינה טומיי יהוד,1381,"חציל,קג",2,6.86,כן,13.73
אוקטובר 2025,מינה טומיי יהוד,1381,"חציל,קג",1,8.17,כן,8.17
אוקטובר 2025,מינה טומיי יהוד,629,"כוסברה מיקרו,נספאק",1,7,לא,7
אוקטובר 2025,מינה טומיי יהוד,106,"כוסברה,קג",32,10.3,לא,329.6
אוקטובר 2025,מינה טומיי יהוד,809,"כרוב לבן גולמי,קג",27,3.03,כן,81.93
אוקטובר 2025,מינה טומיי יהוד,809,"כרוב לבן גולמי,קג",15,3.34,כן,50.24
אוקטובר 2025,מינה טומיי יהוד,809,"כרוב לבן גולמי,קג",39,4.6,כן,179.77
אוקטובר 2025,מינה טומיי יהוד,746,"כרוב סיני,ראש",32,7.5,לא,240
אוקטובר 2025,מינה טומיי יהוד,156,"כרישה/פרסה,קג",14,14.16,כן,198.3
אוקטובר 2025,מינה טומיי יהוד,730,"ליים,קג",43,13.11,כן,563.92
אוקטובר 2025,מינה טומיי יהוד,1685,"לימון סוג א,קג",115,12.06,כן,1387.41
אוקטובר 2025,מינה טומיי יהוד,1598,"מלפפון מיני,נספאק",2,9,לא,18
אוקטובר 2025,מינה טומיי יהוד,1074,"מלפפון,קג",29,5.71,כן,165.64
אוקטובר 2025,מינה טומיי יהוד,1074,"מלפפון,קג",40,6.23,כן,249.48
אוקטובר 2025,מינה טומיי יהוד,1074,"מלפפון,קג",25,6.44,כן,161.17
אוקטובר 2025,מינה טומיי יהוד,1074,"מלפפון,קג",46,6.49,כן,298.97
אוקטובר 2025,מינה טומיי יהוד,1074,"מלפפון,קג",52,6.91,כן,359.81
אוקטובר 2025,מינה טומיי יהוד,269,"נבטים בתפזורת,קג",175,7.7,לא,1347.5
אוקטובר 2025,מינה טומיי יהוד,51,"נענע,קג",9,12,לא,108
אוקטובר 2025,מינה טומיי יהוד,1574,"נקטרינה צהובה,קג",2,24.13,כן,48.27
אוקטובר 2025,מינה טומיי יהוד,1216,"סלק,קג",6,4.5,כן,27.02
אוקטובר 2025,מינה טומיי יהוד,563,"עגבניות שרי תמר,קג",19,18.36,כן,348.92
אוקטובר 2025,מינה טומיי יהוד,563,"עגבניות שרי תמר,קג",4,19.41,כן,77.65
אוקטובר 2025,מינה טומיי יהוד,53,"עירית,קג",9,29.9,לא,269.1
אוקטובר 2025,מינה טומיי יהוד,1474,"עלי וואסבי,חבילה",2,22.9,לא,45.8
אוקטובר 2025,מינה טומיי יהוד,1016,"עלי קישוט,יחידה",265,1.3,לא,344.5
אוקטובר 2025,מינה טומיי יהוד,41,"עשב לימון,קג",8,19.9,לא,159.2
אוקטובר 2025,מינה טומיי יהוד,329,"פטל אדום,נספאק",9,28.33,כן,255.05
אוקטובר 2025,מינה טומיי יהוד,329,"פטל אדום,נספאק",3,29.91,כן,89.74
אוקטובר 2025,מינה טומיי יהוד,329,"פטל אדום,נספאק",3,40.93,כן,122.81
אוקטובר 2025,מינה טומיי יהוד,65,"פטריות א-ת,קג",6,25.4,לא,152.4
אוקטובר 2025,מינה טומיי יהוד,76,"פטריות ב-ת,קג",50,17.4,לא,870
אוקטובר 2025,מינה טומיי יהוד,55,"פטריות יער,קג",28,34,לא,952
אוקטובר 2025,מינה טומיי יהוד,69,"פטריות פורטבלה,קג",41,28,לא,1148
אוקטובר 2025,מינה טומיי יהוד,1421,"פלפל אדום,קג",8,9.22,כן,73.83
אוקטובר 2025,מינה טומיי יהוד,1421,"פלפל אדום,קג",13,10.8,כן,140.45
אוקטובר 2025,מינה טומיי יהוד,1421,"פלפל אדום,קג",8,11.64,כן,93.15
אוקטובר 2025,מינה טומיי יהוד,1421,"פלפל אדום,קג",16,11.85,כן,189.67
אוקטובר 2025,מינה טומיי יהוד,1383,"פלפל ירוק חריף,קג",2,12.06,כן,24.12
אוקטובר 2025,מינה טומיי יהוד,1383,"פלפל ירוק חריף,קג",1,14.58,כן,14.58
אוקטובר 2025,מינה טומיי יהוד,740,"פלפל פדרון קלסיקו,קג",1,38.5,לא,38.5
אוקטובר 2025,מינה טומיי יהוד,805,"פרח מאכל - אמנון ותמר,נספאק",18,13,לא,234
אוקטובר 2025,מינה טומיי יהוד,119,"צ'ילי אדום,קג",24,20.5,לא,492
אוקטובר 2025,מינה טומיי יהוד,1040,"צנונית אבטיח,חבילה",1,12,לא,12
אוקטובר 2025,מינה טומיי יהוד,950,"צנונית מוארכת אדומה,חבילה",3,12,לא,36
אוקטובר 2025,מינה טומיי יהוד,888,"צנונית,חבילה",4,3.9,לא,15.6
אוקטובר 2025,מינה טומיי יהוד,23,"רוקולה בייבי,קג",4,23,לא,92
אוקטובר 2025,מינה טומיי יהוד,394,"רשד מיקרו,נספאק",1,7.5,לא,7.5
אוקטובר 2025,מינה טומיי יהוד,312,"שאלוט מקולף,קג",2,29,לא,58
אוקטובר 2025,מינה טומיי יהוד,190,"שום קלוף מובחר,קג",15,27,לא,405
אוקטובר 2025,מינה טומיי יהוד,1010,"שיסו אדום מיקרו,נספאק",1,8,לא,8
אוקטובר 2025,מינה טומיי יהוד,634,"שעועית,קג",13,34.63,כן,450.31
אוקטובר 2025,מינה טומיי יהוד,634,"שעועית,קג",1,35.68,כן,35.68
אוקטובר 2025,מינה טומיי יהוד,634,"שעועית,קג",8,36.73,כן,293.91
אוקטובר 2025,מינה טומיי יהוד,1491,"תפו""א אדום,קג",52,5.13,כן,266.99
אוקטובר 2025,מינה טומיי יהוד,1503,"תפוז רגיל,קג",2,9.64,כן,19.29
אוקטובר 2025,מינה טומיי יהוד,1506,"תפוח עץ גראני סמיט,קג",10,15.73,כן,157.39
אוקטובר 2025,מינה טומיי יהוד,1506,"תפוח עץ גראני סמיט,קג",1,17.83,כן,17.83
אוקטובר 2025,מינה טומיי יהוד,1505,"תפוח עץ פינק ליידי,קג",42,21.51,כן,903.6
אוקטובר 2025,מינה טומיי יהוד,1264,"תרד בייבי שטוף,קג",29,22,לא,638
אוקטובר 2025,מינה טומיי עין שמר,1512,"אגס,קג",3,20.46,כן,61.39
אוקטובר 2025,מינה טומיי עין שמר,1512,"אגס,קג",16,23.08,כן,369.43
אוקטובר 2025,מינה טומיי עין שמר,327,"אוכמניות,נספאק",48,19,לא,912
אוקטובר 2025,מינה טומיי עין שמר,538,"אספרגוס בינוני,חבילה",88,22.8,לא,2006.4
אוקטובר 2025,מינה טומיי עין שמר,914,"ארטישוק ירושלמי,קג",25,13,לא,325
אוקטובר 2025,מינה טומיי עין שמר,28,"בזיליקום,קג",12.5,18.4,לא,230
אוקטובר 2025,מינה טומיי עין שמר,928,"בטטה סגולה,קג",16,16,לא,256
אוקטובר 2025,מינה טומיי עין שמר,1198,"בננה,קג",24,11.95,כן,287.02
אוקטובר 2025,מינה טומיי עין שמר,1198,"בננה,קג",24,14.68,כן,352.54
אוקטובר 2025,מינה טומיי עין שמר,1198,"בננה,קג",25,15.31,כן,382.98
אוקטובר 2025,מינה טומיי עין שמר,1198,"בננה,קג",26,15.42,כן,401.03
אוקטובר 2025,מינה טומיי עין שמר,249,"בצל אדום מקולף ללא שורש,קג",55,11.22,כן,617.34
אוקטובר 2025,מינה טומיי עין שמר,309,"בצל ירוק,קג",49,11.9,לא,583.1
אוקטובר 2025,מינה טומיי עין שמר,103,"בצל מקולף ללא שורש,קג",230,8.17,כן,1881.28
אוקטובר 2025,מינה טומיי עין שמר,122,"ברוקולי,קג",80,23.61,כן,1889.16
אוקטובר 2025,מינה טומיי עין שמר,122,"ברוקולי,קג",180,24.66,כן,4439.61
אוקטובר 2025,מינה טומיי עין שמר,400,"גזר,קג",17.5,3.66,כן,64.12
אוקטובר 2025,מינה טומיי עין שמר,400,"גזר,קג",15,3.87,כן,58.11
אוקטובר 2025,מינה טומיי עין שמר,78,"ג'ינג'ר,קג",21,21,לא,441
אוקטובר 2025,מינה טומיי עין שמר,1628,"דלעת,קג",80,6.28,כן,503.16
אוקטובר 2025,מינה טומיי עין שמר,79,"זוקיני,קג",2,9.43,כן,18.87
אוקטובר 2025,מינה טומיי עין שמר,79,"זוקיני,קג",3,9.64,כן,28.94
אוקטובר 2025,מינה טומיי עין שמר,79,"זוקיני,קג",1,10.12,כן,10.12
אוקטובר 2025,מינה טומיי עין שמר,784,"חסה אמריקאית ארוז,יחידה",584,3.8,לא,2219.2
אוקטובר 2025,מינה טומיי עין שמר,1639,"חסה לאליק,נספאק",23,8.8,לא,202.4
אוקטובר 2025,מינה טומיי עין שמר,1191,"חסה פקצוי (זוג),נספאק",361,7.4,לא,2671.4
אוקטובר 2025,מינה טומיי עין שמר,1381,"חציל,קג",1,6.86,כן,6.86
אוקטובר 2025,מינה טומיי עין שמר,1381,"חציל,קג",1,6.97,כן,6.97
אוקטובר 2025,מינה טומיי עין שמר,1381,"חציל,קג",1,7.28,כן,7.28
אוקטובר 2025,מינה טומיי עין שמר,1381,"חציל,קג",1,7.33,כן,7.33
אוקטובר 2025,מינה טומיי עין שמר,1381,"חציל,קג",2,8.17,כן,16.35
אוקטובר 2025,מינה טומיי עין שמר,106,"כוסברה,קג",33,10.3,לא,339.9
אוקטובר 2025,מינה טומיי עין שמר,1021,"כורכום,קג",1,55,לא,55
אוקטובר 2025,מינה טומיי עין שמר,809,"כרוב לבן גולמי,קג",72,3.03,כן,218.48
אוקטובר 2025,מינה טומיי עין שמר,809,"כרוב לבן גולמי,קג",54,3.34,כן,180.87
אוקטובר 2025,מינה טומיי עין שמר,809,"כרוב לבן גולמי,קג",90,4.6,כן,414.85
אוקטובר 2025,מינה טומיי עין שמר,746,"כרוב סיני,ראש",31,7.5,לא,232.5
אוקטובר 2025,מינה טומיי עין שמר,156,"כרישה/פרסה,קג",33,14.16,כן,467.42
אוקטובר 2025,מינה טומיי עין שמר,730,"ליים,קג",20,13.11,כן,262.29
אוקטובר 2025,מינה טומיי עין שמר,1685,"לימון סוג א,קג",97,12.06,כן,1170.25
אוקטובר 2025,מינה טומיי עין שמר,1074,"מלפפון,קג",80,5.71,כן,456.96
אוקטובר 2025,מינה טומיי עין שמר,1074,"מלפפון,קג",95,6.23,כן,592.51
אוקטובר 2025,מינה טומיי עין שמר,1074,"מלפפון,קג",80,6.44,כן,515.76
אוקטובר 2025,מינה טומיי עין שמר,1074,"מלפפון,קג",85,6.49,כן,552.45
אוקטובר 2025,מינה טומיי עין שמר,1074,"מלפפון,קג",85,6.91,כן,588.15
אוקטובר 2025,מינה טומיי עין שמר,269,"נבטים בתפזורת,קג",260,7.7,לא,2002
אוקטובר 2025,מינה טומיי עין שמר,51,"נענע,קג",11,12,לא,132
אוקטובר 2025,מינה טומיי עין שמר,1216,"סלק,קג",8,4.5,כן,36.03
אוקטובר 2025,מינה טומיי עין שמר,563,"עגבניות שרי תמר,קג",40,18.36,כן,734.58
אוקטובר 2025,מינה טומיי עין שמר,563,"עגבניות שרי תמר,קג",16,19.41,כן,310.63
אוקטובר 2025,מינה טומיי עין שמר,53,"עירית,קג",14,29.9,לא,418.6
אוקטובר 2025,מינה טומיי עין שמר,1016,"עלי קישוט,יחידה",280,1.3,לא,364
אוקטובר 2025,מינה טומיי עין שמר,41,"עשב לימון,קג",16,19.9,לא,318.4
אוקטובר 2025,מינה טומיי עין שמר,65,"פטריות א-ת,קג",22,25.4,לא,558.8
אוקטובר 2025,מינה טומיי עין שמר,76,"פטריות ב-ת,קג",119,17.4,לא,2070.6
אוקטובר 2025,מינה טומיי עין שמר,55,"פטריות יער,קג",26,34,לא,884
אוקטובר 2025,מינה טומיי עין שמר,69,"פטריות פורטבלה,קג",67,28,לא,1876
אוקטובר 2025,מינה טומיי עין שמר,1421,"פלפל אדום,קג",3,9.22,כן,27.68
אוקטובר 2025,מינה טומיי עין שמר,1421,"פלפל אדום,קג",20,10.8,כן,216.09
אוקטובר 2025,מינה טומיי עין שמר,1421,"פלפל אדום,קג",6,11.64,כן,69.86
אוקטובר 2025,מינה טומיי עין שמר,1421,"פלפל אדום,קג",7,11.85,כן,82.98
אוקטובר 2025,מינה טומיי עין שמר,1383,"פלפל ירוק חריף,קג",2,12.06,כן,24.12
אוקטובר 2025,מינה טומיי עין שמר,1383,"פלפל ירוק חריף,קג",2,14.16,כן,28.32
אוקטובר 2025,מינה טומיי עין שמר,1383,"פלפל ירוק חריף,קג",2,14.58,כן,29.16
אוקטובר 2025,מינה טומיי עין שמר,740,"פלפל פדרון קלסיקו,קג",1,38.5,לא,38.5
אוקטובר 2025,מינה טומיי עין שמר,578,"פפאיה ירוקה,קג",60,10,לא,600
אוקטובר 2025,מינה טומיי עין שמר,805,"פרח מאכל - אמנון ותמר,נספאק",15,13,לא,195
אוקטובר 2025,מינה טומיי עין שמר,119,"צ'ילי אדום,קג",42,20.5,לא,861
אוקטובר 2025,מינה טומיי עין שמר,888,"צנונית,חבילה",15,3.9,לא,58.5
אוקטובר 2025,מינה טומיי עין שמר,23,"רוקולה בייבי,קג",6,23,לא,138
אוקטובר 2025,מינה טומיי עין שמר,312,"שאלוט מקולף,קג",9,29,לא,261
אוקטובר 2025,מינה טומיי עין שמר,190,"שום קלוף מובחר,קג",41,27,לא,1107
אוקטובר 2025,מינה טומיי עין שמר,634,"שעועית,קג",38,34.63,כן,1316.3
אוקטובר 2025,מינה טומיי עין שמר,634,"שעועית,קג",10,35.68,כן,356.89
